row_index,country,gold,base_prediction,alternate_prediction,raw_prediction_preview
2072,bangladesh,neutral,invalid,neutral,neutral
2084,iran,neutral,invalid,neutral,neutral
2085,iran,neutral,invalid,neutral,neutral
2087,cambodia,neutral,invalid,neutral,neutral
2088,cambodia,neutral,invalid,neutral,neutral
2097,cambodia,neutral,invalid,neutral,neutral
2105,china,neutral,invalid,neutral,neutral
2132,mexico,neutral,invalid,neutral,neutral
2144,saudi_arabia,neutral,invalid,neutral,neutral
2162,singapore,neutral,invalid,neutral,neutral
2166,venezuela,neutral,invalid,neutral,neutral
2170,venezuela,neutral,invalid,neutral,neutral
2179,saudi_arabia,neutral,invalid,neutral,neutral
2183,saudi_arabia,neutral,invalid,neutral,neutral
2186,myanmar,neutral,invalid,neutral,neutral
2190,germany,neutral,invalid,neutral,neutral
2198,saudi_arabia,neutral,invalid,neutral,neutral
2201,russia,neutral,invalid,neutral,neutral
2208,saudi_arabia,neutral,invalid,neutral,neutral
2209,saudi_arabia,neutral,invalid,neutral,neutral
2216,romania,neutral,invalid,neutral,neutral
2223,romania,neutral,invalid,neutral,neutral
2227,russia,neutral,invalid,neutral,neutral
2236,north_macedonia,neutral,invalid,neutral,neutral
2239,germany,neutral,invalid,neutral,neutral
2242,türkiye,neutral,invalid,neutral,neutral
2246,united_states_of_america,neutral,invalid,neutral,neutral
2256,afghanistan,neutral,invalid,neutral,neutral
2258,lebanon,neutral,invalid,neutral,neutral
2260,north_macedonia,neutral,invalid,neutral,neutral
2262,north_macedonia,neutral,invalid,neutral,neutral
2263,north_macedonia,neutral,invalid,neutral,neutral
2264,north_macedonia,neutral,invalid,neutral,neutral
2265,north_macedonia,neutral,invalid,neutral,neutral
2268,cyprus,neutral,invalid,neutral,neutral
2274,türkiye,neutral,invalid,neutral,neutral
2276,india,neutral,invalid,neutral,neutral
2281,türkiye,neutral,invalid,neutral,neutral
2288,united_states_of_america,neutral,invalid,neutral,neutral
2298,afghanistan,neutral,invalid,neutral,neutral
2299,hong_kong,neutral,invalid,neutral,neutral
2303,afghanistan,neutral,invalid,neutral,neutral
2306,vietnam,neutral,invalid,neutral,neutral
2311,united_kingdom,neutral,invalid,neutral,neutral
2316,india,neutral,invalid,neutral,neutral
2317,india,neutral,invalid,neutral,neutral
2318,cyprus,neutral,invalid,neutral,neutral
2321,india,neutral,invalid,neutral,neutral
2323,cyprus,neutral,invalid,neutral,neutral
2328,spain,neutral,invalid,neutral,neutral
2330,croatia,neutral,invalid,neutral,neutral
2336,papua_new_guinea,neutral,invalid,neutral,neutral
2341,papua_new_guinea,neutral,invalid,neutral,neutral
2342,spain,neutral,invalid,neutral,neutral
2344,cyprus,neutral,invalid,neutral,neutral
2350,spain,neutral,invalid,neutral,neutral
2353,spain,neutral,invalid,neutral,neutral
2358,spain,neutral,invalid,neutral,neutral
2366,papua_new_guinea,neutral,invalid,neutral,neutral
2368,iraq,neutral,invalid,neutral,neutral
2375,vietnam,neutral,invalid,neutral,neutral
2390,zimbabwe,neutral,invalid,neutral,neutral
2395,chile,neutral,invalid,neutral,neutral
2396,chile,neutral,invalid,neutral,neutral
2397,egypt,neutral,invalid,neutral,neutral
2398,zimbabwe,neutral,invalid,neutral,neutral
2399,spain,neutral,invalid,neutral,neutral
2405,sweden,neutral,invalid,neutral,neutral
2411,egypt,neutral,invalid,neutral,neutral
2430,zimbabwe,neutral,invalid,neutral,neutral
2431,australia,neutral,invalid,neutral,neutral
2432,australia,neutral,invalid,neutral,neutral
2441,hungary,neutral,invalid,neutral,neutral
2442,israel,neutral,invalid,neutral,neutral
2454,south_sudan,neutral,invalid,neutral,neutral
2462,greece,neutral,invalid,neutral,neutral
2470,greece,neutral,invalid,neutral,neutral
2477,new_zealand,neutral,invalid,neutral,neutral
2485,argentina,neutral,invalid,neutral,neutral
2486,ethiopia,neutral,invalid,neutral,neutral
2488,mauritius,neutral,invalid,neutral,neutral
2493,hungary,neutral,invalid,neutral,neutral
2501,italy,neutral,invalid,neutral,neutral
2502,italy,neutral,invalid,neutral,neutral
2503,italy,neutral,invalid,neutral,neutral
2504,israel,neutral,invalid,neutral,neutral
2505,portugal,neutral,invalid,neutral,neutral
2510,taiwan,neutral,invalid,neutral,neutral
2526,egypt,neutral,invalid,neutral,neutral
2529,egypt,neutral,invalid,neutral,neutral
2542,palestinian_territories,neutral,invalid,neutral,neutral
2546,palestinian_territories,neutral,invalid,neutral,neutral
2549,mauritius,neutral,invalid,neutral,neutral
2551,argentina,neutral,invalid,neutral,neutral
2558,laos,neutral,invalid,neutral,neutral
2559,laos,neutral,invalid,neutral,neutral
2561,laos,neutral,invalid,neutral,neutral
2562,portugal,neutral,invalid,neutral,neutral
2566,sudan,neutral,invalid,neutral,neutral
2567,portugal,neutral,invalid,neutral,neutral
2583,thailand,neutral,invalid,neutral,neutral
2591,portugal,neutral,invalid,neutral,neutral
2598,sudan,neutral,invalid,neutral,neutral
2599,sudan,neutral,invalid,neutral,neutral
2605,serbia,neutral,invalid,neutral,neutral
2607,serbia,neutral,invalid,neutral,neutral
2613,serbia,neutral,invalid,neutral,neutral
2618,mauritius,neutral,invalid,neutral,neutral
2625,portugal,neutral,invalid,neutral,neutral
2627,portugal,neutral,invalid,neutral,neutral
