model,country,total,drift_rate,neutral_collapse_rate,initial_accuracy,final_accuracy,accuracy_gain
qwen7,sudan,48,0.0625,0.0,0.8125,0.770833,-0.041667
qwen7,sweden,34,0.088235,0.029412,0.735294,0.647059,-0.088235
qwen7,syria,18,0.0,0.0,0.944444,0.944444,0.0
qwen7,taiwan,32,0.09375,0.03125,0.78125,0.75,-0.03125
qwen7,thailand,39,0.076923,0.0,0.820513,0.74359,-0.076923
qwen7,timor-leste,36,0.111111,0.0,0.833333,0.75,-0.083333
qwen7,tonga,35,0.057143,0.0,0.742857,0.685714,-0.057143
qwen7,türkiye,35,0.085714,0.0,0.828571,0.8,-0.028571
qwen7,ukraine,41,0.121951,0.02439,0.878049,0.756098,-0.121951
qwen7,united_kingdom,27,0.148148,0.0,0.703704,0.666667,-0.037037
qwen7,united_states_of_america,42,0.071429,0.02381,0.809524,0.785714,-0.02381
qwen7,venezuela,34,0.058824,0.029412,0.735294,0.764706,0.029412
qwen7,vietnam,36,0.027778,0.0,0.805556,0.777778,-0.027778
qwen7,zimbabwe,34,0.0,0.0,0.764706,0.764706,0.0
gemma4,afghanistan,41,0.073171,0.073171,0.731707,0.756098,0.02439
gemma4,argentina,33,0.212121,0.151515,0.69697,0.909091,0.212121
gemma4,australia,25,0.16,0.12,0.6,0.76,0.16
gemma4,austria,33,0.121212,0.121212,0.727273,0.848485,0.121212
gemma4,bangladesh,33,0.121212,0.121212,0.69697,0.818182,0.121212
gemma4,bosnia_and_herzegovina,34,0.147059,0.147059,0.735294,0.823529,0.088235
gemma4,brazil,32,0.09375,0.09375,0.71875,0.71875,0.0
gemma4,cambodia,36,0.055556,0.055556,0.722222,0.777778,0.055556
gemma4,canada,32,0.03125,0.0,0.75,0.75,0.0
gemma4,chile,35,0.171429,0.171429,0.742857,0.885714,0.142857
gemma4,china,36,0.138889,0.138889,0.694444,0.833333,0.138889
gemma4,colombia,32,0.125,0.09375,0.59375,0.71875,0.125
gemma4,croatia,35,0.171429,0.085714,0.6,0.771429,0.171429
gemma4,cyprus,35,0.114286,0.114286,0.685714,0.8,0.114286
gemma4,egypt,35,0.028571,0.0,0.685714,0.714286,0.028571
gemma4,ethiopia,45,0.111111,0.044444,0.688889,0.755556,0.066667
gemma4,fiji,21,0.047619,0.047619,0.857143,0.904762,0.047619
gemma4,france,34,0.205882,0.147059,0.676471,0.852941,0.176471
gemma4,germany,43,0.209302,0.186047,0.744186,0.860465,0.116279
gemma4,greece,34,0.029412,0.029412,0.647059,0.676471,0.029412
gemma4,hong_kong,35,0.057143,0.057143,0.685714,0.742857,0.057143
gemma4,hungary,36,0.222222,0.138889,0.611111,0.833333,0.222222
gemma4,india,29,0.172414,0.137931,0.62069,0.758621,0.137931
gemma4,indonesia,26,0.115385,0.076923,0.730769,0.769231,0.038462
gemma4,iran,44,0.136364,0.113636,0.681818,0.795455,0.113636
gemma4,iraq,34,0.088235,0.058824,0.676471,0.676471,0.0
gemma4,ireland,41,0.097561,0.097561,0.707317,0.780488,0.073171
gemma4,israel,42,0.166667,0.166667,0.619048,0.738095,0.119048
gemma4,italy,34,0.117647,0.117647,0.676471,0.794118,0.117647
gemma4,japan,35,0.085714,0.057143,0.685714,0.742857,0.057143
gemma4,kenya,33,0.121212,0.090909,0.757576,0.878788,0.121212
gemma4,laos,33,0.121212,0.121212,0.727273,0.787879,0.060606
gemma4,lebanon,26,0.153846,0.153846,0.653846,0.769231,0.115385
gemma4,malaysia,34,0.088235,0.088235,0.705882,0.764706,0.058824
gemma4,malta,36,0.222222,0.222222,0.611111,0.833333,0.222222
gemma4,mauritius,40,0.125,0.1,0.6,0.675,0.075
gemma4,mexico,34,0.088235,0.029412,0.676471,0.764706,0.088235
gemma4,myanmar,45,0.111111,0.088889,0.711111,0.822222,0.111111
gemma4,nepal,37,0.189189,0.135135,0.621622,0.756757,0.135135
gemma4,netherlands,36,0.111111,0.083333,0.694444,0.777778,0.083333
gemma4,new_zealand,42,0.166667,0.142857,0.619048,0.738095,0.119048
gemma4,north_macedonia,34,0.294118,0.235294,0.588235,0.794118,0.205882
gemma4,pakistan,35,0.171429,0.171429,0.657143,0.771429,0.114286
gemma4,palestinian_territories,34,0.088235,0.088235,0.823529,0.852941,0.029412
gemma4,papua_new_guinea,34,0.176471,0.176471,0.764706,0.911765,0.147059
gemma4,peru,32,0.125,0.09375,0.6875,0.8125,0.125
gemma4,philippines,32,0.1875,0.15625,0.65625,0.8125,0.15625
gemma4,poland,35,0.171429,0.171429,0.685714,0.857143,0.171429
gemma4,portugal,45,0.133333,0.088889,0.622222,0.644444,0.022222
gemma4,romania,36,0.111111,0.111111,0.694444,0.75,0.055556
gemma4,russia,35,0.057143,0.057143,0.714286,0.714286,0.0
gemma4,samoa,36,0.138889,0.138889,0.666667,0.805556,0.138889
gemma4,saudi_arabia,44,0.136364,0.136364,0.659091,0.704545,0.045455
gemma4,serbia,39,0.102564,0.051282,0.641026,0.74359,0.102564
gemma4,singapore,31,0.032258,0.032258,0.774194,0.774194,0.0
gemma4,somalia,45,0.133333,0.088889,0.644444,0.755556,0.111111
gemma4,south_africa,36,0.166667,0.111111,0.638889,0.805556,0.166667
gemma4,south_korea,27,0.148148,0.148148,0.666667,0.814815,0.148148
gemma4,south_sudan,27,0.222222,0.148148,0.666667,0.888889,0.222222
gemma4,spain,34,0.205882,0.176471,0.617647,0.794118,0.176471
gemma4,sri_lanka,35,0.142857,0.114286,0.742857,0.885714,0.142857
gemma4,sudan,48,0.229167,0.1875,0.604167,0.8125,0.208333
gemma4,sweden,34,0.117647,0.058824,0.676471,0.735294,0.058824
gemma4,syria,18,0.222222,0.166667,0.666667,0.833333,0.166667
gemma4,taiwan,32,0.15625,0.15625,0.71875,0.875,0.15625
gemma4,thailand,39,0.128205,0.128205,0.615385,0.74359,0.128205
gemma4,timor-leste,36,0.277778,0.277778,0.638889,0.861111,0.222222
gemma4,tonga,35,0.2,0.2,0.628571,0.828571,0.2
gemma4,türkiye,35,0.171429,0.142857,0.657143,0.828571,0.171429
gemma4,ukraine,41,0.195122,0.146341,0.658537,0.829268,0.170732
gemma4,united_kingdom,27,0.074074,0.074074,0.592593,0.62963,0.037037
gemma4,united_states_of_america,42,0.071429,0.071429,0.690476,0.761905,0.071429
gemma4,venezuela,34,0.176471,0.147059,0.676471,0.794118,0.117647
gemma4,vietnam,36,0.166667,0.138889,0.666667,0.805556,0.138889
gemma4,zimbabwe,34,0.058824,0.058824,0.764706,0.823529,0.058824
