row_index,country,gold,initial,final,cluster
121,north_macedonia,yes,no,neutral,2
122,north_macedonia,yes,yes,yes,3
123,north_macedonia,yes,yes,neutral,1
124,north_macedonia,yes,yes,neutral,1
125,north_macedonia,yes,yes,yes,3
126,north_macedonia,yes,yes,yes,3
127,north_macedonia,yes,yes,neutral,3
128,north_macedonia,yes,yes,yes,2
129,north_macedonia,yes,yes,neutral,3
130,north_macedonia,yes,yes,neutral,3
131,italy,yes,yes,yes,2
132,italy,yes,yes,neutral,2
133,italy,yes,yes,yes,2
134,italy,yes,yes,yes,2
135,italy,yes,yes,yes,2
136,italy,yes,yes,yes,3
137,italy,yes,yes,yes,1
138,italy,yes,yes,yes,2
139,italy,yes,yes,yes,3
140,italy,yes,yes,neutral,1
141,italy,yes,yes,neutral,3
142,italy,yes,yes,neutral,1
143,canada,yes,yes,neutral,2
144,canada,yes,yes,neutral,3
145,canada,yes,yes,neutral,3
146,canada,yes,yes,neutral,3
147,canada,yes,yes,neutral,1
148,canada,yes,yes,neutral,1
149,canada,yes,yes,yes,1
150,canada,yes,yes,yes,2
151,canada,yes,yes,yes,2
152,canada,yes,yes,yes,3
153,canada,yes,yes,yes,3
154,canada,yes,yes,yes,2
155,iraq,yes,yes,neutral,0
156,iraq,yes,yes,yes,1
157,iraq,yes,yes,yes,0
158,iraq,yes,yes,yes,0
159,iraq,yes,yes,neutral,3
160,iraq,yes,yes,neutral,1
161,iraq,yes,yes,neutral,1
162,iraq,yes,yes,neutral,1
163,iraq,yes,yes,neutral,2
164,iraq,yes,yes,neutral,3
165,iraq,yes,yes,neutral,1
166,iraq,yes,yes,neutral,3
167,united_kingdom,yes,yes,neutral,3
168,united_kingdom,yes,yes,yes,3
169,united_kingdom,yes,yes,neutral,2
170,united_kingdom,yes,yes,yes,1
171,united_kingdom,no,yes,neutral,1
172,united_kingdom,yes,yes,neutral,0
173,united_kingdom,yes,yes,neutral,2
174,united_kingdom,yes,yes,yes,1
175,united_kingdom,yes,yes,yes,1
176,singapore,yes,yes,yes,2
177,singapore,yes,yes,yes,2
178,singapore,yes,yes,neutral,2
179,singapore,yes,yes,neutral,2
180,singapore,yes,yes,yes,3
181,singapore,yes,yes,neutral,0
182,singapore,yes,yes,yes,1
183,singapore,yes,yes,neutral,1
184,singapore,yes,yes,yes,1
185,singapore,yes,yes,yes,1
186,singapore,yes,yes,yes,3
187,singapore,yes,yes,yes,3
188,timor-leste,no,yes,neutral,1
189,timor-leste,yes,yes,yes,0
190,timor-leste,yes,yes,neutral,1
191,timor-leste,yes,yes,yes,2
192,timor-leste,yes,yes,yes,2
193,timor-leste,yes,yes,neutral,1
194,timor-leste,yes,yes,yes,3
195,timor-leste,yes,yes,neutral,1
196,timor-leste,yes,yes,yes,3
197,timor-leste,yes,yes,yes,3
198,timor-leste,yes,yes,yes,3
199,timor-leste,yes,yes,yes,3
200,poland,yes,yes,yes,2
201,poland,yes,yes,yes,2
202,poland,yes,yes,yes,2
203,poland,yes,yes,yes,2
204,poland,yes,yes,yes,3
205,poland,yes,yes,yes,3
206,poland,yes,yes,yes,0
207,poland,yes,yes,yes,0
208,poland,yes,yes,yes,0
209,poland,yes,yes,neutral,0
210,poland,yes,yes,neutral,3
211,poland,yes,yes,neutral,1
212,pakistan,yes,yes,neutral,3
213,pakistan,yes,yes,neutral,1
214,pakistan,yes,yes,yes,3
215,pakistan,yes,yes,neutral,1
216,pakistan,yes,yes,yes,2
217,pakistan,yes,yes,yes,1
218,pakistan,yes,yes,yes,3
219,pakistan,yes,yes,neutral,3
220,pakistan,yes,yes,yes,3
221,pakistan,yes,yes,neutral,1
222,pakistan,yes,yes,neutral,1
223,pakistan,yes,yes,yes,3
224,mexico,yes,yes,yes,1
225,mexico,yes,yes,yes,2
226,mexico,yes,yes,neutral,0
227,mexico,yes,yes,yes,2
228,mexico,yes,yes,yes,1
229,mexico,yes,yes,yes,2
230,mexico,yes,yes,yes,0
231,mexico,yes,yes,yes,1
232,mexico,yes,yes,yes,0
233,mexico,yes,yes,yes,3
234,mexico,yes,yes,yes,2
235,mexico,yes,yes,yes,3
236,argentina,yes,yes,yes,3
237,argentina,yes,yes,neutral,3
238,argentina,yes,yes,yes,3
239,argentina,yes,yes,yes,3
240,argentina,yes,yes,yes,0
241,argentina,yes,yes,yes,3
242,argentina,yes,yes,yes,1
243,argentina,yes,yes,yes,3
244,argentina,yes,yes,yes,3
245,argentina,yes,yes,yes,1
246,argentina,yes,yes,yes,1
247,argentina,yes,yes,yes,1
248,taiwan,yes,yes,neutral,2
249,taiwan,yes,yes,yes,2
250,taiwan,yes,yes,neutral,2
251,taiwan,yes,yes,neutral,0
252,taiwan,yes,yes,neutral,0
253,taiwan,yes,yes,yes,2
254,taiwan,yes,yes,neutral,3
255,taiwan,yes,yes,yes,3
256,taiwan,yes,yes,neutral,1
257,taiwan,yes,yes,yes,0
258,taiwan,yes,yes,yes,3
259,taiwan,yes,yes,yes,3
260,somalia,yes,yes,yes,2
261,somalia,yes,yes,yes,1
262,somalia,yes,yes,yes,3
263,somalia,yes,yes,neutral,3
264,somalia,yes,yes,neutral,0
265,somalia,yes,yes,neutral,1
266,somalia,yes,yes,neutral,1
267,somalia,yes,yes,yes,2
268,somalia,yes,yes,neutral,1
269,somalia,yes,yes,yes,0
270,somalia,yes,yes,neutral,1
271,somalia,yes,yes,neutral,0
272,somalia,yes,yes,yes,2
273,somalia,yes,yes,yes,0
274,somalia,yes,yes,neutral,0
275,serbia,yes,yes,neutral,2
276,serbia,yes,yes,yes,2
277,serbia,yes,yes,yes,3
278,serbia,yes,yes,yes,1
279,serbia,yes,yes,yes,3
280,serbia,yes,yes,yes,3
281,serbia,yes,yes,yes,1
282,serbia,yes,yes,neutral,0
283,serbia,yes,yes,yes,0
284,serbia,yes,yes,yes,1
285,serbia,yes,yes,yes,3
286,serbia,yes,yes,yes,2
287,sweden,yes,yes,yes,3
288,sweden,yes,yes,yes,3
289,sweden,yes,yes,yes,0
290,sweden,yes,yes,yes,1
291,sweden,yes,yes,yes,0
292,sweden,yes,yes,yes,0
293,sweden,yes,yes,yes,0
294,sweden,yes,yes,yes,3
295,sweden,yes,yes,yes,0
296,sweden,yes,yes,yes,0
297,sweden,yes,yes,yes,2
298,sweden,yes,yes,yes,1
299,south_korea,yes,yes,yes,1
300,south_korea,yes,yes,yes,3
301,south_korea,yes,yes,yes,1
302,south_korea,yes,yes,neutral,0
303,south_korea,yes,yes,yes,3
304,south_korea,yes,yes,yes,1
305,south_korea,yes,yes,neutral,1
306,south_korea,yes,yes,neutral,1
307,south_korea,yes,yes,yes,2
308,myanmar,yes,yes,yes,0
309,myanmar,yes,yes,neutral,1
310,myanmar,yes,yes,yes,3
311,myanmar,yes,yes,neutral,1
312,myanmar,yes,yes,yes,0
313,myanmar,yes,yes,yes,3
314,myanmar,yes,yes,yes,1
315,myanmar,yes,yes,yes,3
316,myanmar,yes,yes,yes,1
317,myanmar,yes,yes,yes,3
318,myanmar,yes,yes,yes,1
319,myanmar,yes,yes,yes,3
320,myanmar,yes,yes,yes,0
321,myanmar,yes,yes,neutral,3
322,myanmar,yes,yes,neutral,0
323,malta,yes,yes,yes,3
324,malta,yes,yes,yes,3
325,malta,yes,yes,yes,3
326,malta,yes,yes,yes,3
327,malta,yes,yes,yes,1
328,malta,yes,yes,yes,2
329,malta,yes,yes,yes,2
330,malta,yes,yes,yes,3
331,malta,yes,yes,neutral,3
332,malta,yes,yes,neutral,1
333,malta,yes,yes,neutral,1
334,malta,yes,yes,yes,2
335,china,yes,yes,yes,1
336,china,yes,yes,neutral,3
337,china,yes,yes,yes,2
338,china,yes,yes,yes,3
339,china,yes,yes,yes,2
340,china,yes,yes,neutral,1
341,china,yes,yes,yes,2
342,china,yes,yes,neutral,1
343,china,yes,yes,neutral,1
344,china,yes,yes,yes,1
345,china,yes,yes,yes,3
346,china,yes,yes,yes,0
347,germany,yes,yes,yes,3
348,germany,yes,yes,neutral,0
349,germany,yes,yes,yes,3
350,germany,yes,yes,yes,2
351,germany,yes,yes,neutral,2
352,germany,yes,yes,yes,0
353,germany,yes,yes,yes,0
354,germany,yes,yes,yes,0
355,germany,yes,yes,yes,3
356,germany,yes,yes,yes,3
357,germany,yes,yes,yes,3
358,germany,yes,yes,yes,3
359,germany,yes,no,neutral,1
360,germany,yes,yes,no,1
361,germany,yes,yes,neutral,1
362,ukraine,yes,yes,neutral,1
363,ukraine,yes,yes,yes,2
364,ukraine,yes,yes,yes,2
365,ukraine,yes,yes,yes,3
366,ukraine,yes,yes,neutral,0
367,ukraine,yes,yes,yes,2
368,ukraine,yes,yes,yes,1
369,ukraine,yes,yes,yes,2
370,ukraine,yes,yes,neutral,0
371,ukraine,yes,yes,neutral,1
372,ukraine,yes,yes,yes,1
373,ukraine,yes,yes,yes,1
374,ukraine,yes,yes,yes,1
375,ukraine,yes,yes,yes,2
376,ukraine,yes,yes,yes,1
377,romania,yes,yes,yes,2
378,romania,yes,yes,yes,1
379,romania,yes,yes,yes,2
380,romania,yes,yes,neutral,1
381,romania,yes,yes,no,1
382,romania,yes,yes,yes,2
383,romania,yes,yes,yes,2
384,romania,yes,yes,yes,1
385,romania,yes,yes,yes,3
386,romania,yes,yes,yes,2
387,romania,yes,yes,neutral,1
388,romania,yes,yes,neutral,1
389,russia,yes,yes,yes,3
390,russia,yes,yes,yes,2
391,russia,yes,yes,yes,3
392,russia,yes,yes,neutral,0
393,russia,yes,yes,neutral,3
394,russia,yes,yes,neutral,1
395,russia,yes,yes,yes,2
396,russia,yes,yes,yes,0
397,russia,yes,yes,yes,1
398,russia,yes,yes,neutral,1
399,russia,yes,yes,neutral,1
400,russia,yes,yes,neutral,1
401,nepal,yes,yes,yes,2
402,nepal,yes,yes,yes,3
403,nepal,yes,yes,yes,3
404,nepal,yes,yes,yes,1
405,nepal,yes,yes,yes,1
406,nepal,yes,yes,yes,3
407,nepal,yes,yes,yes,3
408,nepal,yes,yes,neutral,1
409,nepal,yes,yes,neutral,2
410,nepal,yes,yes,neutral,3
411,nepal,yes,yes,neutral,1
412,nepal,yes,yes,neutral,1
413,bangladesh,yes,yes,yes,2
414,bangladesh,yes,yes,neutral,3
415,bangladesh,yes,yes,yes,3
416,bangladesh,yes,yes,neutral,3
417,bangladesh,yes,yes,neutral,1
418,bangladesh,yes,yes,yes,3
419,bangladesh,yes,yes,yes,3
420,bangladesh,yes,yes,yes,3
421,bangladesh,yes,yes,yes,2
422,bangladesh,yes,yes,yes,3
423,bangladesh,yes,yes,neutral,1
424,bangladesh,yes,yes,yes,3
425,portugal,yes,yes,neutral,1
426,portugal,yes,yes,yes,3
427,portugal,yes,yes,neutral,1
428,portugal,yes,yes,neutral,2
429,portugal,yes,yes,yes,1
430,portugal,yes,yes,yes,1
431,portugal,yes,yes,yes,1
432,portugal,yes,yes,yes,2
433,portugal,yes,yes,neutral,1
434,portugal,yes,yes,yes,2
435,portugal,yes,yes,yes,2
436,portugal,yes,yes,yes,1
437,thailand,yes,yes,neutral,3
438,thailand,yes,yes,yes,3
439,thailand,yes,yes,neutral,2
440,thailand,yes,yes,yes,2
441,thailand,yes,yes,yes,3
442,thailand,yes,yes,neutral,3
443,thailand,yes,yes,neutral,1
444,thailand,yes,yes,yes,0
445,thailand,yes,yes,neutral,1
446,thailand,yes,yes,neutral,3
447,thailand,yes,yes,neutral,3
448,thailand,yes,yes,neutral,3
449,france,yes,yes,neutral,3
450,france,yes,yes,yes,3
451,france,yes,yes,neutral,1
452,france,yes,yes,yes,2
453,france,yes,yes,yes,1
454,france,yes,yes,yes,3
455,france,yes,yes,yes,0
456,france,yes,yes,yes,1
457,france,yes,yes,yes,0
458,france,yes,yes,neutral,0
459,france,yes,yes,yes,0
460,france,yes,yes,neutral,3
461,ireland,yes,yes,yes,1
462,ireland,yes,yes,neutral,1
463,ireland,yes,yes,yes,2
464,ireland,yes,yes,yes,1
465,ireland,yes,yes,neutral,3
466,ireland,yes,yes,yes,2
467,ireland,yes,yes,yes,1
468,ireland,yes,yes,yes,2
469,ireland,yes,yes,yes,2
470,ireland,yes,yes,neutral,3
471,ireland,yes,yes,yes,2
472,ireland,yes,yes,yes,3
473,ireland,yes,yes,yes,2
474,ireland,yes,yes,yes,0
475,ireland,yes,yes,yes,3
476,croatia,yes,yes,yes,2
477,croatia,yes,yes,yes,2
478,croatia,yes,yes,yes,3
479,croatia,yes,yes,yes,2
480,croatia,yes,yes,neutral,1
481,croatia,yes,yes,yes,3
482,croatia,yes,yes,neutral,2
483,croatia,yes,yes,yes,3
484,croatia,yes,yes,yes,2
485,croatia,yes,yes,neutral,1
486,croatia,yes,yes,neutral,1
487,croatia,yes,yes,neutral,3
488,mauritius,yes,yes,yes,1
489,mauritius,yes,yes,yes,3
490,mauritius,yes,yes,yes,3
491,mauritius,yes,yes,yes,0
492,mauritius,yes,yes,yes,3
493,mauritius,yes,yes,neutral,3
494,mauritius,yes,yes,neutral,3
495,mauritius,yes,yes,neutral,3
496,mauritius,yes,yes,neutral,3
497,mauritius,yes,yes,neutral,3
498,mauritius,yes,yes,neutral,1
499,mauritius,yes,yes,neutral,1
500,fiji,yes,yes,yes,1
501,fiji,yes,yes,neutral,0
502,fiji,yes,yes,neutral,3
503,fiji,yes,yes,yes,3
504,fiji,yes,yes,yes,0
505,fiji,yes,yes,yes,3
506,fiji,yes,yes,neutral,1
507,fiji,yes,yes,yes,1
508,fiji,yes,yes,yes,2
509,austria,yes,yes,yes,3
510,austria,yes,yes,neutral,2
511,austria,yes,yes,yes,1
512,austria,yes,yes,yes,2
513,austria,yes,yes,yes,0
514,austria,yes,yes,yes,2
515,austria,yes,yes,yes,3
516,austria,yes,yes,yes,3
517,austria,yes,yes,yes,1
518,austria,yes,yes,yes,3
519,austria,yes,yes,yes,0
520,austria,yes,yes,yes,3
521,brazil,yes,yes,yes,3
522,brazil,yes,yes,yes,1
523,brazil,yes,yes,neutral,0
524,brazil,yes,yes,yes,1
525,brazil,yes,yes,neutral,1
526,brazil,yes,yes,neutral,1
527,brazil,yes,yes,neutral,3
528,brazil,yes,yes,yes,1
529,brazil,yes,yes,neutral,2
530,brazil,yes,yes,neutral,3
531,brazil,yes,yes,neutral,1
532,brazil,yes,no,neutral,1
533,south_africa,yes,yes,yes,1
534,south_africa,yes,yes,yes,2
535,south_africa,yes,yes,neutral,1
536,south_africa,yes,yes,neutral,0
537,south_africa,yes,yes,yes,1
538,south_africa,yes,yes,yes,3
539,south_africa,yes,yes,yes,1
540,south_africa,yes,yes,yes,2
541,south_africa,yes,yes,yes,3
542,south_africa,yes,yes,yes,3
543,south_africa,yes,yes,yes,3
544,south_africa,yes,yes,yes,1
545,chile,yes,yes,neutral,1
546,chile,no,yes,neutral,1
547,chile,yes,yes,neutral,1
548,chile,yes,yes,neutral,1
549,chile,yes,yes,neutral,1
550,chile,yes,yes,neutral,1
551,chile,yes,yes,yes,3
552,chile,yes,yes,yes,3
553,chile,yes,yes,neutral,2
554,chile,yes,yes,yes,2
555,chile,yes,yes,neutral,3
556,chile,yes,yes,neutral,2
557,papua_new_guinea,yes,yes,yes,1
558,papua_new_guinea,yes,yes,yes,1
559,papua_new_guinea,yes,yes,neutral,1
560,papua_new_guinea,yes,yes,yes,2
561,papua_new_guinea,yes,yes,yes,3
562,papua_new_guinea,yes,yes,neutral,1
563,papua_new_guinea,yes,yes,yes,0
564,papua_new_guinea,yes,yes,neutral,3
565,papua_new_guinea,yes,yes,neutral,3
566,papua_new_guinea,yes,yes,yes,2
567,papua_new_guinea,yes,yes,yes,2
568,papua_new_guinea,yes,yes,yes,2
569,afghanistan,yes,yes,yes,3
570,afghanistan,yes,yes,neutral,3
571,afghanistan,yes,yes,yes,1
572,afghanistan,yes,yes,neutral,0
573,afghanistan,yes,yes,neutral,3
574,afghanistan,yes,yes,neutral,1
575,afghanistan,yes,yes,yes,2
576,afghanistan,yes,yes,yes,3
577,afghanistan,yes,yes,yes,1
578,afghanistan,yes,yes,yes,3
579,afghanistan,yes,yes,neutral,2
580,afghanistan,yes,yes,neutral,1
581,afghanistan,yes,yes,yes,3
582,afghanistan,yes,yes,neutral,1
583,afghanistan,yes,yes,neutral,0
584,japan,yes,yes,neutral,3
585,japan,yes,yes,neutral,2
586,japan,yes,yes,neutral,3
587,japan,yes,yes,yes,0
588,japan,yes,yes,yes,3
589,japan,yes,yes,yes,3
590,japan,yes,yes,neutral,0
591,japan,yes,yes,yes,0
592,japan,yes,yes,yes,3
593,japan,yes,yes,yes,0
594,japan,yes,yes,yes,1
595,japan,yes,yes,yes,0
596,australia,yes,yes,neutral,1
597,australia,yes,yes,yes,2
598,australia,yes,yes,neutral,1
599,australia,yes,yes,yes,2
600,australia,yes,yes,yes,1
601,australia,yes,yes,yes,2
602,australia,yes,yes,yes,3
603,australia,yes,yes,yes,0
604,australia,yes,yes,yes,3
605,netherlands,yes,yes,yes,2
606,netherlands,yes,yes,yes,1
607,netherlands,yes,yes,yes,3
608,netherlands,yes,yes,yes,2
609,netherlands,yes,yes,yes,2
610,netherlands,yes,yes,neutral,1
611,netherlands,yes,yes,yes,0
612,netherlands,yes,yes,yes,3
613,netherlands,yes,yes,yes,3
614,netherlands,yes,yes,neutral,3
615,netherlands,yes,yes,neutral,1
616,netherlands,yes,yes,yes,3
617,sri_lanka,yes,yes,neutral,3
618,sri_lanka,yes,yes,neutral,1
619,sri_lanka,yes,yes,neutral,3
620,sri_lanka,yes,yes,neutral,1
621,sri_lanka,yes,yes,yes,1
622,sri_lanka,yes,yes,yes,1
623,sri_lanka,yes,yes,neutral,1
624,sri_lanka,yes,yes,neutral,1
625,sri_lanka,yes,yes,neutral,3
626,sri_lanka,yes,yes,yes,1
627,sri_lanka,yes,yes,yes,3
628,sri_lanka,yes,yes,yes,2
629,indonesia,yes,yes,yes,3
630,indonesia,yes,yes,neutral,3
631,indonesia,yes,yes,neutral,3
632,indonesia,yes,yes,neutral,1
633,indonesia,yes,yes,neutral,1
634,indonesia,yes,yes,neutral,2
635,indonesia,yes,yes,yes,3
636,indonesia,yes,yes,yes,3
637,indonesia,yes,yes,neutral,0
638,malaysia,yes,yes,neutral,1
639,malaysia,yes,yes,yes,3
640,malaysia,yes,yes,neutral,1
641,malaysia,yes,yes,yes,2
642,malaysia,yes,yes,yes,3
643,malaysia,yes,yes,neutral,0
644,malaysia,yes,yes,neutral,3
645,malaysia,yes,yes,neutral,1
646,malaysia,yes,yes,yes,0
647,malaysia,yes,yes,neutral,3
648,malaysia,yes,yes,neutral,3
649,malaysia,yes,yes,yes,3
650,ethiopia,yes,yes,yes,2
651,ethiopia,yes,yes,yes,1
652,ethiopia,yes,yes,neutral,2
653,ethiopia,yes,yes,neutral,1
654,ethiopia,yes,yes,neutral,1
655,ethiopia,yes,yes,neutral,3
656,ethiopia,yes,yes,yes,2
657,ethiopia,yes,yes,yes,2
658,ethiopia,yes,yes,yes,3
659,ethiopia,yes,yes,neutral,3
660,ethiopia,yes,yes,neutral,2
661,ethiopia,yes,yes,neutral,1
662,ethiopia,yes,yes,neutral,0
663,ethiopia,yes,yes,yes,2
664,ethiopia,yes,yes,neutral,3
665,bosnia_and_herzegovina,yes,yes,yes,3
666,bosnia_and_herzegovina,yes,yes,yes,1
667,bosnia_and_herzegovina,yes,yes,yes,3
668,bosnia_and_herzegovina,yes,yes,yes,1
669,bosnia_and_herzegovina,yes,yes,neutral,0
670,bosnia_and_herzegovina,yes,yes,neutral,0
671,bosnia_and_herzegovina,yes,yes,neutral,1
672,bosnia_and_herzegovina,yes,yes,neutral,1
673,bosnia_and_herzegovina,yes,yes,neutral,1
674,bosnia_and_herzegovina,yes,yes,neutral,1
675,bosnia_and_herzegovina,yes,yes,yes,3
676,bosnia_and_herzegovina,yes,yes,no,1
677,palestinian_territories,yes,yes,yes,3
678,palestinian_territories,yes,yes,neutral,1
679,palestinian_territories,yes,yes,yes,2
680,palestinian_territories,yes,yes,neutral,3
681,palestinian_territories,yes,yes,neutral,3
682,palestinian_territories,yes,yes,neutral,0
683,palestinian_territories,yes,yes,yes,0
684,palestinian_territories,yes,yes,neutral,3
685,palestinian_territories,yes,yes,yes,2
686,palestinian_territories,yes,yes,yes,1
687,palestinian_territories,yes,yes,yes,3
688,palestinian_territories,yes,yes,yes,3
689,palestinian_territories,yes,yes,neutral,2
690,palestinian_territories,yes,yes,yes,3
691,palestinian_territories,yes,yes,yes,3
692,syria,yes,yes,neutral,1
693,syria,yes,yes,neutral,1
694,syria,yes,yes,neutral,1
695,syria,yes,yes,neutral,0
696,syria,yes,yes,yes,0
697,syria,yes,yes,neutral,0
698,kenya,yes,yes,neutral,3
699,kenya,yes,yes,yes,3
700,kenya,yes,yes,yes,3
701,kenya,yes,yes,yes,1
702,kenya,yes,yes,neutral,3
703,kenya,yes,yes,yes,3
704,kenya,yes,yes,neutral,1
705,kenya,yes,yes,yes,2
706,kenya,yes,yes,neutral,1
707,kenya,yes,yes,yes,3
708,kenya,yes,yes,yes,1
709,kenya,yes,yes,neutral,3
710,new_zealand,yes,yes,neutral,3
711,new_zealand,yes,yes,neutral,0
712,new_zealand,yes,yes,neutral,3
713,new_zealand,yes,yes,yes,2
714,new_zealand,yes,yes,yes,0
715,new_zealand,yes,yes,yes,2
716,new_zealand,yes,yes,yes,3
717,new_zealand,yes,yes,yes,2
718,new_zealand,yes,yes,neutral,0
719,new_zealand,yes,yes,yes,2
720,new_zealand,yes,yes,neutral,1
721,new_zealand,yes,yes,yes,2
722,new_zealand,yes,yes,yes,1
723,new_zealand,yes,yes,neutral,0
724,new_zealand,yes,yes,yes,3
725,peru,yes,yes,neutral,3
726,peru,yes,yes,neutral,1
727,peru,yes,yes,neutral,3
728,peru,yes,yes,yes,1
729,peru,yes,yes,yes,1
730,peru,yes,yes,yes,3
731,peru,yes,yes,yes,1
732,peru,yes,yes,yes,1
733,peru,yes,yes,yes,1
734,peru,yes,yes,yes,0
735,peru,yes,yes,yes,3
736,peru,yes,yes,yes,2
737,laos,yes,yes,yes,1
738,laos,yes,yes,yes,3
739,laos,yes,yes,yes,2
740,laos,yes,yes,yes,0
741,laos,yes,yes,yes,3
742,laos,yes,yes,neutral,1
743,laos,yes,yes,neutral,1
744,laos,yes,yes,yes,0
745,laos,yes,no,neutral,1
746,laos,yes,yes,yes,0
747,laos,yes,yes,neutral,0
748,laos,yes,yes,neutral,0
749,cyprus,yes,yes,yes,1
750,cyprus,yes,yes,neutral,1
751,cyprus,yes,yes,yes,3
752,cyprus,yes,yes,yes,0
753,cyprus,yes,yes,yes,2
754,cyprus,yes,yes,neutral,2
755,cyprus,yes,yes,yes,3
756,cyprus,yes,yes,yes,0
757,cyprus,yes,yes,yes,2
758,cyprus,yes,yes,yes,3
759,cyprus,yes,yes,neutral,2
760,cyprus,yes,yes,yes,3
761,india,yes,yes,yes,3
762,india,yes,yes,yes,3
763,india,yes,yes,neutral,3
764,india,yes,yes,yes,3
765,india,yes,yes,neutral,1
766,india,yes,yes,neutral,2
767,india,yes,yes,neutral,3
768,india,yes,yes,neutral,3
769,india,yes,yes,neutral,3
770,iran,yes,yes,neutral,2
771,iran,yes,yes,yes,3
772,iran,yes,yes,yes,2
773,iran,yes,yes,yes,3
774,iran,yes,yes,yes,3
775,iran,yes,yes,neutral,3
776,iran,yes,yes,neutral,3
777,iran,yes,yes,neutral,1
778,iran,yes,yes,neutral,1
